,greedy,temp_0.05,temp_0.1,temp_0.15,temp_0.2,temp_0.25,temp_0.3,temp_0.35,temp_0.4,temp_0.45,temp_0.5,temp_0.55,temp_0.6,temp_0.65,temp_0.7,temp_0.75,temp_0.8,temp_0.85,temp_0.9,temp_0.95,temp_1.0,topk_1,topk_2,topk_5,topk_10,topk_20,topk_50,topk_100,topk_200,topk_500,topp_0.05,topp_0.1,topp_0.15,topp_0.2,topp_0.25,topp_0.3,topp_0.35,topp_0.4,topp_0.45,topp_0.5,topp_0.55,topp_0.6,topp_0.65,topp_0.7,topp_0.75,topp_0.8,topp_0.85,topp_0.9,topp_0.95,topp_1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036007165908813477,0.0,0.004301786422729492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977534413337708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966261386871338,0.0,0.0,0.0
1,0.9974898099899292,0.997192919254303,0.0,0.9975277781486511,0.9965631365776062,0.997768759727478,0.0,0.9970802664756775,0.0075376033782958984,0.9969384670257568,0.9975677132606506,0.9974616765975952,0.0,0.005848586559295654,0.9974115490913391,0.9973676800727844,0.0,0.9953843951225281,0.008075416088104248,0.9977250695228577,0.9966386556625366,0.9974898099899292,0.9977134466171265,0.9975320100784302,0.9975295662879944,0.0,0.9974673986434937,0.9955590963363647,0.9975952506065369,0.0,0.9974898099899292,0.9974898099899292,0.9974898099899292,0.9974898099899292,0.9974898099899292,0.9974898099899292,0.9974898099899292,0.9975722432136536,0.9976890087127686,0.9981884360313416,0.9975433945655823,0.9963177442550659,0.9969320297241211,0.9973936080932617,0.9973880648612976,0.9963396787643433,0.997524082660675,0.09147083759307861,0.0,0.007224321365356445
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006508767604827881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064476728439331055,0.0,0.0,0.0,0.0,0.0,0.0,0.007119596004486084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007253825664520264,0.0,0.008122801780700684,0.0,0.011895835399627686,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941033720970154,0.0028730034828186035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004610180854797363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977046847343445,0.0,0.0,0.9946565628051758,0.9976160526275635,0.9980789422988892,0.9961515069007874,0.9965847730636597,0.0,0.9980117082595825,0.0,0.06414252519607544,0.996645987033844,0.998007595539093,0.0,0.0,0.9973593354225159,0.0,0.0,0.9979767203330994,0.9962616562843323,0.0,0.9982220530509949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959244728088379,0.9976497292518616,0.0,0.0,0.996448278427124,0.012712240219116211,0.0
5,0.0,0.0,0.0,0.08237946033477783,0.0,0.0,0.9977394342422485,0.0,0.0,0.0012584328651428223,0.0015649199485778809,0.002382218837738037,0.0,0.9486581087112427,0.0,0.0,0.006461441516876221,0.0,0.997665524482727,0.0,0.0018874406814575195,0.0,0.002666950225830078,0.0037779808044433594,0.0,0.0030651092529296875,0.002059638500213623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003346383571624756,0.0,0.0013120770454406738,0.0013359785079956055,0.0,0.003387749195098877,0.00255584716796875
6,0.9961082339286804,0.9961082339286804,0.9961082339286804,0.9963827133178711,0.0,0.0,0.9964195489883423,0.9966722726821899,0.9941840767860413,0.9969844222068787,0.0046277642250061035,0.0,0.0,0.0,0.9976001381874084,0.9946818947792053,0.0,0.0,0.0,0.9971885085105896,0.021714866161346436,0.9961082339286804,0.9960414171218872,0.0,0.0,0.0,0.0,0.9962834715843201,0.0,0.0,0.9961082339286804,0.9961082339286804,0.9961082339286804,0.9961082339286804,0.9961082339286804,0.9961082339286804,0.9961082339286804,0.9961082339286804,0.9961082339286804,0.0,0.0,0.9962738752365112,0.0,0.0,0.006701529026031494,0.0,0.9970237612724304,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002352297306060791,0.0,0.0,0.6924934387207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016934871673583984,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020170211791992188,0.0,0.0,0.002474844455718994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
